model,val,imagenetv2-matched-frequency-format-val,imagenetv2-threshold-0.7-format-val,imagenetv2-top-images-format-val,imagenet-vid-robust_pm0,imagenet-vid-robust_pm10,stylized_imagenet,greyscale,imagenet-a,val-on-vid-robust-classes,ytbb-robust_pm0,ytbb-robust_pm10,val-on-ytbb-robust-classes,objectnet-1.0-beta,val-on-objectnet-classes,val-on-imagenet-a-classes,imagenet-sketch,imagenet-r,val-on-imagenet-r-classes,pgd.linf.eps0.5,pgd.linf.eps2,pgd.l2.eps0.1,pgd.l2.eps0.5,brightness_in-memory,defocus_blur_in-memory,impulse_noise_on-disk,snow_on-disk,brightness_on-disk,elastic_transform_in-memory,jpeg_compression_on-disk,defocus_blur_on-disk,gaussian_blur_on-disk,gaussian_noise_in-memory,shot_noise_in-memory,fog_on-disk,frost_in-memory,zoom_blur_on-disk,fog_in-memory,jpeg_compression_in-memory,impulse_noise_in-memory,glass_blur_on-disk,speckle_noise_on-disk,elastic_transform_on-disk,pixelate_in-memory,snow_in-memory,motion_blur_on-disk,shot_noise_on-disk,gaussian_blur_in-memory,saturate_in-memory,gaussian_noise_on-disk,frost_on-disk,spatter_in-memory,contrast_in-memory,speckle_noise_in-memory,saturate_on-disk,zoom_blur_in-memory,motion_blur_in-memory,contrast_on-disk,spatter_on-disk,pixelate_on-disk,avg_corruptions,avg_pgd
efficientnet-l2-noisystudent,88.32200622558594,80.8499984741211,85.81999969482422,88.18999481201172,88.00721370604148,82.14607754733994,50.33000183105469,86.50200653076172,84.85333251953125,99.65972222222223,67.6847290640394,63.54679802955665,99.6017316017316,68.45090202009291,92.7040023803711,98.54999542236328,47.64094543457031,74.67333221435547,97.79000091552734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FixResNeXt101_32x48d_v2,86.36200714111328,77.93999481201172,84.41999816894531,87.38999938964844,85.84310189359783,72.22723174030659,37.656002044677734,82.54800415039062,68.41333770751953,99.57638888888889,68.91625615763547,57.73399014778325,99.54112554112554,57.84811494004537,90.33600616455078,97.9000015258789,59.144412994384766,79.96666717529297,97.3499984741211,,,,,84.38920440673829,69.51320266723633,53.59160385131836,55.68000259399414,79.31240234375,67.283203125,66.86080398559571,51.736402130126955,54.539602279663086,69.09920196533203,67.28400421142578,67.54920196533203,66.19640350341797,51.03000183105469,83.49840545654297,77.35480499267578,65.5608024597168,34.84280128479004,62.87080383300781,56.16560363769531,76.9092041015625,67.06240386962891,54.601202392578124,55.03960342407227,71.13920288085937,82.81720275878907,56.736402893066405,56.4900016784668,74.79640502929688,81.67560424804688,72.14480133056641,76.84280242919922,59.19320373535156,71.3416030883789,61.33760299682617,69.40200271606446,68.23760452270508,65.64946981576774,
FixResNeXt101_32x48d,86.2560043334961,77.7699966430664,84.50999450683594,87.50999450683594,86.02344454463481,72.31740306582508,37.492000579833984,82.53800201416016,68.65333557128906,99.59722222222223,69.35960591133005,57.78325123152709,99.54978354978356,58.01015447769255,90.2080078125,97.8699951171875,59.04026794433594,79.90333557128906,97.25999450683594,,,,,84.2904037475586,69.41000366210938,53.53200263977051,55.5692024230957,79.22400512695313,67.15680313110352,66.78160400390625,51.63920249938965,54.38920364379883,68.95880432128907,67.17960128784179,67.52680282592773,66.05200271606445,50.93680191040039,83.47520294189454,77.34400329589843,65.43480377197265,34.74120121002197,62.74480361938477,55.99520149230957,76.90040283203125,66.96520233154297,54.43080139160156,54.92760314941406,71.05920333862305,82.72040252685547,56.61040267944336,56.424801635742185,74.66240234375,81.63080291748047,72.05360412597656,76.77200622558594,59.11360473632813,71.22360382080078,61.311201858520505,69.28480377197266,68.23200378417968,65.55729529062907,
instagram-resnext101_32x48d,85.44200134277344,76.95999908447266,83.6500015258789,86.73999786376953,84.67087466185752,72.67808836789901,39.246002197265625,81.27800750732422,61.026668548583984,99.50694444444444,68.07881773399015,56.945812807881765,99.46320346320347,59.122825969536564,89.1520004272461,97.62999725341797,58.81428527832031,79.65666961669922,96.97000122070312,18.119998931884766,9.380000114440918,57.34000015258789,11.579999923706055,83.41320343017578,62.224002075195315,58.185603332519534,57.24480285644531,79.74160461425781,61.40840301513672,70.82600402832031,57.74040145874024,60.245202255249026,64.17440261840821,62.21280212402344,68.00480194091797,63.3404037475586,53.37560195922852,79.36000366210938,72.79200439453125,60.331201171875,41.06360263824463,65.7844024658203,58.4660026550293,72.42280426025391,65.65160369873047,59.28760299682617,59.36600341796875,65.0196029663086,81.78120269775391,60.9780029296875,58.69920272827149,73.67160263061524,79.78280334472656,67.95440368652343,77.48160552978516,61.66560287475586,65.32000350952148,64.9364028930664,69.57680282592773,71.68360443115235,65.53172624539107,24.104999780654907
efficientnet-b8-advprop-autoaug,85.36800384521484,76.11000061035156,83.02999877929688,86.45999908447266,82.59693417493237,72.76825969341749,46.91400146484375,82.7820053100586,46.893333435058594,99.59722222222223,68.27586206896552,59.802955665024626,99.59307359307358,52.78167872961003,88.94400787353516,97.11000061035156,45.77806854248047,57.833335876464844,96.54999542236328,,,,,84.1028045654297,79.51760406494141,66.88760147094726,64.09200134277344,80.78120422363281,80.39960327148438,76.66000366210938,56.94680328369141,58.9300033569336,79.46760559082031,79.94720306396485,67.82080307006837,71.10160369873047,58.61680297851562,80.4676025390625,83.82440338134765,75.46520309448242,45.26640167236328,72.63680419921874,63.6140022277832,84.1988037109375,72.1572036743164,62.58560409545898,66.2572036743164,79.57760314941406,83.67240447998047,66.75800323486328,62.6556037902832,81.16240234375,72.15080337524414,82.05560302734375,80.26040344238281,60.77680358886719,82.01920318603516,59.00320205688477,76.20880432128907,74.47640228271484,71.85174689659705,
BiT-M-R152x4-ILSVRC2012,85.1780014038086,75.02999877929688,81.80999755859375,85.3499984741211,86.20378719567178,73.48963029756538,37.09600067138672,80.30400085449219,58.66666793823242,99.57638888888889,72.5615763546798,61.57635467980296,99.46320346320347,50.28626984984336,89.63200378417969,97.54999542236328,43.01715850830078,55.3466682434082,96.77999877929688,,,,,82.61560516357422,70.90320205688477,61.0776008605957,59.35760345458984,76.53240356445312,71.22760238647462,70.30840454101562,53.11480140686035,54.769202423095706,73.03240432739258,72.71920318603516,64.883203125,73.19080505371093,53.33360214233399,78.53160400390625,77.75960235595703,72.19960174560546,37.158002090454104,66.22520446777344,54.689202880859376,79.53600463867187,69.07600402832031,57.75440216064453,60.63920288085937,72.53880462646484,80.50560302734375,61.46360549926758,61.008802032470705,77.82760314941406,79.71200256347656,76.15440216064454,72.94720306396485,58.861202239990234,73.69120254516602,60.94520301818848,71.7196029663086,67.79800415039062,67.2617363465138,
vit_large_patch16_384,85.15400695800781,75.3699951171875,82.15999603271484,85.54999542236328,89.35978358881876,78.62939585211902,40.038002014160156,79.19400024414062,53.853336334228516,99.49305555555556,71.87192118226601,62.01970443349754,99.42857142857143,54.488495192827045,88.8800048828125,97.11000061035156,43.304054260253906,54.75,96.3499984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instagram-resnext101_32x32d,85.09200286865234,76.7699966430664,83.5999984741211,86.3699951171875,84.40036068530208,69.0712353471596,39.224002838134766,81.07000732421875,58.06666946411133,99.52083333333334,68.0295566502463,56.79802955665024,99.41125541125541,58.08577292859458,88.78400421142578,97.3699951171875,58.3800048828125,79.45999908447266,96.7699966430664,18.299999237060547,10.479999542236328,55.599998474121094,13.219999313354492,83.0780029296875,61.56560287475586,56.86280364990235,56.575601196289064,79.57440185546875,60.61080322265625,69.4868034362793,56.682403564453125,58.77040252685547,62.515203857421874,61.13280181884765,68.00400314331054,63.017601776123044,52.73520202636719,78.51240386962891,71.3268035888672,59.43960342407227,40.09760284423828,64.94080200195313,57.988403701782225,71.52600173950195,65.09280395507812,57.3056022644043,57.83800201416015,64.2652027130127,81.25840454101562,59.41080207824707,58.36680297851562,72.75160293579101,79.55720367431641,68.38400268554688,77.09120483398438,61.461602783203126,63.868002319335936,64.42000160217285,69.18200378417968,71.1556022644043,64.77297734969702,24.399999141693115
efficientnet-b7-advprop-autoaug,85.09200286865234,75.88999938964844,82.79000091552734,86.19999694824219,83.58881875563571,73.12894499549142,41.7140007019043,82.41200256347656,46.720001220703125,99.58333333333333,67.04433497536945,58.620689655172406,99.55844155844156,51.52317165388355,88.59200286865234,97.18000030517578,41.790958404541016,53.91666793823242,96.40999603271484,60.29999923706055,18.059999465942383,80.68000030517578,,83.89520263671875,77.50880432128906,58.558402633666994,59.91400299072266,80.12040405273437,77.74160232543946,74.97160339355469,52.14160270690918,54.82000312805176,78.26480560302734,78.493603515625,66.05440292358398,68.26280288696289,52.64960250854492,80.86520233154297,83.14440307617187,76.64480438232422,39.54400234222412,68.12720336914063,60.75160293579101,82.92120361328125,68.52960205078125,55.8072021484375,58.63440208435058,77.44080352783203,83.32520294189453,59.74680366516113,59.07040176391602,80.07920379638672,71.56600418090821,81.09560546875,79.40240478515625,55.655601501464844,80.49320373535156,55.8960039138794,73.97320556640625,67.72480163574218,68.92209547972067,
BiT-M-R101x3-ILSVRC2012,84.7820053100586,73.45999908447266,80.86000061035156,84.6500015258789,83.6789900811542,71.5058611361587,30.06800079345703,78.84200286865234,52.14666748046875,99.52777777777779,71.57635467980296,60.54187192118226,99.48051948051948,45.776169385330014,88.83200073242188,97.25,36.730926513671875,50.86333465576172,96.47000122070312,,,,,81.75240325927734,68.02360229492187,56.80200271606445,53.67120208740234,74.86320190429687,67.0348030090332,67.91520462036132,50.19760284423828,52.566802978515625,66.99280319213867,66.73960189819336,61.23520355224609,68.36680450439454,46.97640266418457,74.02520370483398,76.43560485839843,65.21680297851563,29.903600883483886,62.93720245361328,50.6744026184082,77.62040252685547,64.0916030883789,52.53480224609375,56.669602966308595,69.91560134887695,79.20360412597657,57.95640411376953,56.77600250244141,75.00880279541016,76.52200241088867,71.65840301513671,70.67240447998047,51.34960174560547,71.43920516967773,57.72920188903809,68.26320190429688,65.6900032043457,63.444649031223385,
