model,arch,val_dataset_size,val_subsampled_class_1_8_dataset_size,imagenetv2-matched-frequency_dataset_size,imagenetv2-matched-frequency-format-val_dataset_size,imagenetv2-matched-frequency-format-val_subsampled_class_1_8_dataset_size,imagenetv2-threshold-0.7-format-val_dataset_size,imagenetv2-threshold0.7_dataset_size,imagenetv2-top-images-format-val_dataset_size,imagenetv2-topimages_dataset_size,imagenet-vid-robust_pm0_dataset_size,imagenet-vid-robust_pm10_dataset_size,stylized_imagenet_dataset_size,greyscale_dataset_size,imagenet-a_dataset_size,val-on-vid-robust-classes_dataset_size,ytbb-robust_pm0_dataset_size,ytbb-robust_pm10_dataset_size,val-on-ytbb-robust-classes_dataset_size,objectnet-1.0-beta_dataset_size,val-on-objectnet-classes_dataset_size,val-on-imagenet-a-classes_dataset_size,val-on-openimages-classes_dataset_size,openimages_test_ilsvrc_subset_dataset_size,imagenet-sketch_dataset_size,imagenet-r_dataset_size,val-on-imagenet-r-classes_dataset_size,pgd.linf.eps0.5_dataset_size,pgd.linf.eps2_dataset_size,pgd.l2.eps0.1_dataset_size,pgd.l2.eps0.5_dataset_size,brightness_in-memory_dataset_size,defocus_blur_in-memory_dataset_size,impulse_noise_on-disk_dataset_size,snow_on-disk_dataset_size,brightness_on-disk_dataset_size,elastic_transform_in-memory_dataset_size,jpeg_compression_on-disk_dataset_size,defocus_blur_on-disk_dataset_size,gaussian_blur_on-disk_dataset_size,gaussian_noise_in-memory_dataset_size,shot_noise_in-memory_dataset_size,fog_on-disk_dataset_size,frost_in-memory_dataset_size,zoom_blur_on-disk_dataset_size,fog_in-memory_dataset_size,jpeg_compression_in-memory_dataset_size,impulse_noise_in-memory_dataset_size,glass_blur_on-disk_dataset_size,speckle_noise_on-disk_dataset_size,elastic_transform_on-disk_dataset_size,pixelate_in-memory_dataset_size,snow_in-memory_dataset_size,motion_blur_on-disk_dataset_size,shot_noise_on-disk_dataset_size,gaussian_blur_in-memory_dataset_size,saturate_in-memory_dataset_size,gaussian_noise_on-disk_dataset_size,frost_on-disk_dataset_size,spatter_in-memory_dataset_size,contrast_in-memory_dataset_size,speckle_noise_in-memory_dataset_size,saturate_on-disk_dataset_size,zoom_blur_in-memory_dataset_size,motion_blur_in-memory_dataset_size,contrast_on-disk_dataset_size,spatter_on-disk_dataset_size,pixelate_on-disk_dataset_size,avg_corruptions_dataset_size,avg_pgd_dataset_size
efficientnet-l2-noisystudent,efficientnet-l2,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FixResNeXt101_32x48d_v2,resnext101_32x48d,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,
FixResNeXt101_32x48d,resnext101_32x48d,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,
instagram-resnext101_32x48d,resnext101_32x48d,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,5000.0,5000.0,5000.0,5000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,5000.0
efficientnet-b8-advprop-autoaug,efficientnet-b8,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,
BiT-M-R152x4-ILSVRC2012,BiT-M-R152x4,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,
vit_large_patch16_384,vit_large_patch16_384,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instagram-resnext101_32x32d,resnext101_32x32d,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,5000.0,5000.0,5000.0,5000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,5000.0
efficientnet-b7-advprop-autoaug,efficientnet-b7,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,5000.0,5000.0,5000.0,,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,
BiT-M-R101x3-ILSVRC2012,BiT-M-R101x3,50000,6250,10000,10000,1250,10000,10000,10000,10000,1109,1109,50000,50000,7500,14400,2530,2530,11550,18514,6250,10000,20700,23104,50000,30000,10000,,,,,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,
